row_number,year,manufacturer,condition,cylinders,fuel,odometer,transmission,type,paint_color,F1,F2,F3,F4
21,2007.0,ford,good,8 cylinders,gas,216000.0,automatic,SUV,black,136,2.124693078088786,0.2208403033415362,a
22,2013.0,ford,excellent,6 cylinders,gas,125125.0,automatic,SUV,black,966,2.1108547346865683,0.1322491843971426,a
23,2011.0,ford,like new,8 cylinders,gas,137181.0,automatic,pickup,red,913,2.3434063724488445,0.245966996606238,c
24,2008.0,ford,good,4 cylinders,gas,130321.0,automatic,pickup,red,183,2.1740261604762914,0.0529633033790026,c
25,2013.0,subaru,like new,4 cylinders,gas,122000.0,automatic,SUV,silver,421,2.1233194425169275,0.1937645130285857,a
26,2018.0,ford,good,6 cylinders,gas,18912.0,automatic,pickup,red,4943,2.480830380109249,0.1572780406580808,c
27,2011.0,ford,excellent,6 cylinders,gas,127000.0,automatic,SUV,silver,1756,2.3409647211158253,0.1109428655668807,c
28,2012.0,ford,excellent,6 cylinders,gas,82888.0,automatic,SUV,black,431,2.228353908017889,-0.0532633603362998,c
29,2006.0,subaru,excellent,6 cylinders,gas,123279.0,automatic,SUV,silver,2022,2.0989805786333537,0.2713701792288301,c
30,2004.0,ford,fair,8 cylinders,gas,210000.0,automatic,truck,white,312,2.090733678705919,0.207191150253496,a
31,2010.0,ford,excellent,4 cylinders,gas,90690.0,automatic,sedan,silver,840,2.337925411827638,0.2337126173530158,a
32,2012.0,ford,excellent,6 cylinders,gas,194144.0,automatic,sedan,white,3528,2.172317226965562,0.1294252095003906,a
33,2012.0,subaru,good,4 cylinders,gas,158000.0,automatic,SUV,blue,896,2.2780922173366185,0.1971413349419745,b
34,2011.0,ford,good,6 cylinders,gas,135954.0,automatic,SUV,black,761,2.2412189626274674,0.0778614549045025,b
35,1999.0,ford,fair,8 cylinders,gas,177750.0,automatic,pickup,black,216,1.9334730073053028,0.1971919197975576,b
36,2008.0,ford,excellent,8 cylinders,gas,161000.0,automatic,truck,white,1015,2.1534379937733177,0.0072264049483511,c
37,2008.0,ford,like new,6 cylinders,gas,83918.0,automatic,SUV,white,323,2.038777570913197,0.1564837880045989,c
38,2011.0,subaru,like new,4 cylinders,gas,99000.0,automatic,sedan,silver,277,2.324013777924677,0.1113970222997848,c
39,2018.0,ford,excellent,8 cylinders,gas,60000.0,automatic,pickup,white,1532,2.3911065151694424,0.2925418440921193,c
40,1997.0,ford,good,8 cylinders,gas,187000.0,automatic,pickup,blue,124,2.0199133273071457,0.0627753070370546,b
41,2010.0,ford,like new,8 cylinders,gas,53900.0,automatic,truck,red,422,2.27569719003317,-0.0173063857026872,b
42,2016.0,ford,like new,4 cylinders,gas,95848.0,automatic,sedan,black,1370,2.4675248332999784,0.2942798202890599,a
43,2013.0,ford,excellent,6 cylinders,gas,91863.0,automatic,truck,black,877,2.4383304618513857,-0.0325005185017553,b
44,1999.0,ford,good,6 cylinders,gas,104067.0,automatic,pickup,red,243,2.2476450682742004,0.082363147312512,c
45,2010.0,subaru,excellent,4 cylinders,gas,62800.0,automatic,sedan,black,724,2.252465933488488,0.0228343785974038,c
46,1988.0,ford,excellent,8 cylinders,gas,168000.0,automatic,pickup,black,1002,1.6954005617482009,0.0807051725995008,a
47,2000.0,ford,good,4 cylinders,gas,125000.0,automatic,sedan,red,114,2.009837675252082,0.17495053211481,a
48,2011.0,ford,good,6 cylinders,gas,91000.0,automatic,sedan,white,260,2.035780380900396,0.041474315268854,b
49,2011.0,ford,excellent,6 cylinders,gas,53347.0,automatic,truck,black,1562,2.3127073655829253,0.2075685487297993,b
50,2011.0,ford,good,8 cylinders,gas,163337.0,automatic,truck,white,698,2.3323936709852253,0.1021314857440986,b
51,2010.0,subaru,like new,4 cylinders,gas,103608.0,manual,sedan,black,276,2.33047161102245,0.17727185191717,b
52,2007.0,ford,excellent,4 cylinders,gas,141036.0,automatic,sedan,silver,293,2.129648930524117,0.083764100483232,a
53,2012.0,ford,excellent,6 cylinders,gas,113818.0,automatic,sedan,blue,1584,2.1327202277187105,0.1582643458644416,a
54,2017.0,ford,excellent,8 cylinders,gas,54904.0,automatic,truck,red,3131,2.39417854201432,-0.0630584838303688,c
55,2007.0,ford,good,4 cylinders,gas,154693.0,manual,SUV,blue,2174,2.074827093598908,0.1568786166403022,c
56,2007.0,subaru,fair,4 cylinders,gas,186606.0,automatic,sedan,black,3550,2.072097633917486,0.1176791194888522,c
57,1971.0,ford,good,8 cylinders,gas,46516.0,manual,truck,red,140,1.4022270394876055,-0.0965840972452859,a
58,2006.0,subaru,good,6 cylinders,gas,136.0,automatic,sedan,black,700,2.053980393191552,0.092171055852242,b
59,2010.0,ford,good,6 cylinders,gas,170810.0,automatic,SUV,blue,410,2.219694358827541,-0.0399798227463424,b
60,2017.0,ford,good,6 cylinders,gas,17916.0,automatic,pickup,red,4991,2.2433695511149256,0.0868336372332423,c
61,2013.0,ford,like new,6 cylinders,gas,103588.0,automatic,pickup,white,1149,2.17372316022778,0.0029441805351316,c
62,2019.0,subaru,like new,4 cylinders,gas,20000.0,automatic,SUV,white,599,2.545278543993296,0.154237773725418,c
63,2013.0,ford,excellent,4 cylinders,gas,108800.0,automatic,sedan,black,3289,2.2917122232288705,0.2052788739590647,c
64,2011.0,ford,like new,8 cylinders,gas,107950.0,automatic,truck,black,1231,2.0521208729042115,0.055727905251307,b
65,2011.0,ford,good,8 cylinders,gas,108804.0,automatic,truck,white,1688,2.2547768258139,0.1050670247587654,b
66,2013.0,ford,excellent,8 cylinders,gas,113000.0,automatic,truck,black,2207,2.3712090196985343,0.0498685280837355,c
67,2014.0,subaru,excellent,4 cylinders,gas,45000.0,automatic,sedan,white,10234,2.3129637014844424,0.1531914714368887,b
68,2013.0,ford,like new,6 cylinders,gas,86040.0,automatic,SUV,white,441,2.3940886277320725,0.0232098381945879,c
69,2010.0,ford,good,4 cylinders,gas,104410.0,automatic,SUV,silver,699,2.134448254275184,0.311536518329754,a
70,2011.0,ford,excellent,4 cylinders,gas,140797.0,automatic,SUV,blue,3897,2.2999766334943854,0.0084601272506275,a
71,2016.0,ford,good,4 cylinders,gas,104000.0,automatic,sedan,red,625,2.2999194743910767,0.2062415554636715,c
72,2005.0,ford,good,8 cylinders,gas,273000.0,automatic,truck,white,497,2.1980659002765712,0.1671811513228929,a
73,2013.0,ford,like new,6 cylinders,gas,83320.0,automatic,sedan,white,296,2.403580431429877,0.0525299983894991,c
74,2015.0,subaru,like new,4 cylinders,gas,180485.0,automatic,SUV,silver,308,2.4243356198920245,0.1148864846715995,c
75,2010.0,ford,good,4 cylinders,gas,174039.0,automatic,sedan,black,301,2.0897417667345275,-0.0156278871284123,a
76,2018.0,ford,excellent,6 cylinders,gas,35700.0,automatic,sedan,blue,512,2.254122692171125,0.0902234602010359,a
77,2014.0,ford,excellent,6 cylinders,gas,130000.0,automatic,SUV,red,700,2.368266491238696,0.1205653553690295,c
78,2016.0,ford,good,6 cylinders,gas,25882.0,automatic,sedan,red,4070,2.4678416881777068,0.0614109822048535,b
79,2012.0,ford,excellent,4 cylinders,gas,186321.0,automatic,sedan,silver,369,2.3596773169379777,0.1325573002069579,b
80,2012.0,ford,good,8 cylinders,gas,130135.0,automatic,truck,blue,2068,2.1027867271278864,0.0260071009897501,a
81,2011.0,ford,good,8 cylinders,gas,156495.0,automatic,truck,black,134,2.342003030331629,-0.0210232715337406,c
82,2013.0,ford,good,4 cylinders,gas,73000.0,automatic,sedan,silver,221,2.211695744645595,0.0701083861420014,c
83,2001.0,ford,good,6 cylinders,gas,100000.0,automatic,pickup,black,101,2.0184793558339047,0.0705472172714088,c
84,2004.0,ford,good,8 cylinders,gas,95000.0,automatic,truck,red,519,2.0836918032541925,0.0078361200413325,a
85,2017.0,ford,excellent,6 cylinders,gas,39320.0,automatic,SUV,black,1120,2.3621071868121537,0.185687916484643,a
86,2008.0,ford,good,8 cylinders,gas,105215.0,automatic,pickup,red,395,2.2494327504012195,0.2250286937998371,c
87,2017.0,ford,excellent,6 cylinders,gas,49000.0,automatic,pickup,blue,571,2.356747074811714,0.11698044495803,a
88,2015.0,ford,good,8 cylinders,gas,150589.0,automatic,truck,white,2341,2.315468656307792,0.2691353017817597,a
89,2014.0,ford,excellent,4 cylinders,gas,74670.0,automatic,sedan,white,16625,2.2286755958490283,0.0143830469547773,c
90,2013.0,ford,excellent,6 cylinders,gas,110000.0,automatic,sedan,black,2539,2.294919745058023,0.1167022375240947,a
91,1957.0,ford,good,8 cylinders,gas,64000.0,automatic,truck,black,259,1.0435498698211925,0.3674397257042021,b
92,2020.0,ford,good,6 cylinders,gas,1911.0,automatic,pickup,white,4965,2.4002635389262945,0.0617838412421656,b
93,2013.0,ford,good,4 cylinders,gas,140000.0,automatic,sedan,silver,186,2.2870538346835594,0.1601874986821193,b
94,2013.0,ford,excellent,4 cylinders,gas,94650.0,automatic,sedan,blue,6074,2.429991681182342,0.1939387228706872,b
95,1997.0,ford,good,4 cylinders,gas,106000.0,manual,truck,white,113,2.0226675516297434,0.0418782927560952,a
96,2006.0,ford,excellent,6 cylinders,gas,137688.0,automatic,SUV,silver,533,2.0602986652430397,0.1814947319002567,b
97,2013.0,ford,good,6 cylinders,gas,143000.0,automatic,SUV,blue,3072,2.465413036908344,0.1696772174022987,c
98,2004.0,ford,fair,8 cylinders,gas,259000.0,automatic,SUV,white,715,2.0003823903628177,0.142112159397523,a
99,2010.0,ford,excellent,8 cylinders,gas,140230.0,automatic,SUV,black,5251,2.336227059331399,0.181811467413266,b
100,2010.0,subaru,good,4 cylinders,gas,197500.0,automatic,SUV,silver,1494,2.373498341347449,0.0116364054222791,b
101,2017.0,ford,like new,4 cylinders,gas,22000.0,automatic,sedan,blue,239,2.3503193834366503,-0.0115077260812112,a
102,2011.0,subaru,good,4 cylinders,gas,142000.0,automatic,sedan,black,2839,2.178054491125508,-0.0428765259765083,b
103,2004.0,ford,good,6 cylinders,gas,210000.0,automatic,sedan,blue,609,2.104321435913377,0.0415458778977979,b
104,2015.0,subaru,excellent,4 cylinders,gas,69885.0,automatic,SUV,silver,1010,2.477413116246963,-0.042260987664336,b
105,2017.0,subaru,excellent,4 cylinders,gas,18820.0,automatic,SUV,silver,745,2.378106199455892,0.1258909801606507,a
106,2010.0,ford,excellent,8 cylinders,gas,117702.0,automatic,truck,black,3490,2.147384470457295,-0.1327661447776859,c
107,2000.0,ford,fair,8 cylinders,gas,202000.0,automatic,truck,red,290,1.9402503178555983,0.1562958985760578,c
108,2019.0,ford,good,8 cylinders,gas,9912.0,automatic,truck,white,1532,2.38473852741772,-0.147636755340153,a
109,2001.0,ford,good,8 cylinders,gas,213.0,automatic,truck,red,608,2.0846866722658746,0.1749898541851582,c
110,2011.0,ford,good,6 cylinders,gas,74500.0,automatic,pickup,white,943,2.1095469101360216,-0.0590881575291829,a
111,2014.0,ford,like new,6 cylinders,gas,176105.0,automatic,truck,white,1067,2.485582533617183,0.1624610700316254,a
112,2013.0,ford,excellent,4 cylinders,gas,123124.0,automatic,sedan,blue,2419,2.3511237295555483,0.1982343413746982,a
113,2012.0,ford,excellent,6 cylinders,gas,57000.0,automatic,truck,white,652,2.2264714459356,0.0639696325289969,c
114,2001.0,ford,good,8 cylinders,gas,151000.0,automatic,pickup,black,778,1.953250131751072,0.0732741978447733,c
115,2012.0,ford,excellent,6 cylinders,gas,102133.0,automatic,truck,white,3122,2.1734357299568474,0.0311665579858395,c
116,2018.0,ford,excellent,6 cylinders,gas,47960.0,automatic,truck,black,275,2.349133348073808,0.2711626322123006,a
117,2015.0,ford,excellent,6 cylinders,gas,70067.0,automatic,SUV,white,2048,2.2486236294459765,0.0871294052302392,b
118,1998.0,ford,good,6 cylinders,gas,91861.0,manual,truck,white,261,1.9312913598833457,0.1599068922859837,b
119,2003.0,subaru,good,4 cylinders,gas,146731.0,manual,truck,blue,120,2.114481664253618,0.1585886999140577,b
120,2019.0,ford,like new,8 cylinders,gas,24750.0,automatic,truck,white,507,2.4618634339659726,0.1085218756529708,c
121,2013.0,ford,excellent,4 cylinders,gas,67000.0,automatic,sedan,black,839,2.2135493227675287,0.2050339302866493,b
122,2003.0,ford,good,6 cylinders,gas,131000.0,automatic,SUV,silver,202,2.1441321130360618,-0.0670825922322437,b
123,1993.0,ford,good,8 cylinders,gas,213000.0,automatic,truck,white,182,1.857131044546232,0.2019641623835725,b
124,2005.0,ford,good,4 cylinders,gas,87555.0,automatic,sedan,red,1817,2.190904176397992,0.124246093828313,c
125,2015.0,ford,good,6 cylinders,gas,143067.0,automatic,SUV,black,1171,2.280166571942434,0.1942097457042968,c
126,2000.0,ford,good,4 cylinders,gas,153750.0,automatic,sedan,silver,2098,2.0605242199244107,0.1484904605136746,c
127,2016.0,subaru,excellent,4 cylinders,gas,40945.0,automatic,sedan,silver,1882,2.4445892547028283,0.2359340213661381,c
128,2008.0,ford,good,6 cylinders,gas,181321.0,automatic,sedan,black,354,2.242772402767452,0.0884496674587796,a
129,2005.0,subaru,fair,4 cylinders,gas,186000.0,automatic,sedan,red,930,2.087182282362296,0.0955336801144652,b
130,2018.0,ford,good,6 cylinders,gas,18912.0,automatic,pickup,red,4943,2.3736647253991863,-0.0833248663043626,a
131,2010.0,ford,excellent,6 cylinders,gas,144000.0,automatic,SUV,black,297,2.048624469615196,0.1047292283950427,a
132,2013.0,ford,good,4 cylinders,gas,164800.0,automatic,SUV,black,1881,2.317267567132199,0.0531353813304884,b
133,2018.0,subaru,excellent,4 cylinders,gas,35989.0,automatic,SUV,silver,911,2.337283789306567,0.1696316111629154,c
134,2017.0,ford,good,8 cylinders,gas,13778.0,automatic,truck,white,2038,2.457818843508924,-0.0241618159199338,c
135,2008.0,ford,excellent,8 cylinders,gas,88000.0,automatic,SUV,white,210,2.3049739476539086,0.076777042566104,b
136,2011.0,ford,excellent,4 cylinders,gas,99814.0,automatic,sedan,red,346,2.323282825978939,0.1575409443344672,a
137,2007.0,subaru,fair,4 cylinders,gas,186606.0,automatic,sedan,black,3551,2.28926109418444,0.0941856653494875,b
138,2013.0,ford,excellent,4 cylinders,gas,72037.0,manual,sedan,black,843,2.2472451514382894,0.0550104200353347,b
139,2004.0,ford,good,4 cylinders,gas,77000.0,manual,sedan,black,157,2.120777447007314,0.1814603893090975,c
140,2017.0,ford,excellent,6 cylinders,gas,59000.0,automatic,pickup,silver,833,2.445599609797545,0.1911299059686036,c
141,1994.0,ford,excellent,6 cylinders,gas,21250.0,automatic,pickup,white,1691,1.875898768159908,0.0199684585366109,a
142,2010.0,ford,excellent,4 cylinders,gas,176500.0,automatic,sedan,black,280,2.2553771123858355,0.1732708977037212,b
143,2012.0,ford,like new,6 cylinders,gas,99291.0,automatic,SUV,white,1331,2.3583008334731246,-0.0242977711662078,b
144,2007.0,ford,excellent,6 cylinders,gas,155000.0,automatic,pickup,blue,178,2.2552076434900705,0.176811368051142,c
145,2016.0,ford,good,8 cylinders,gas,18175.0,automatic,pickup,red,5060,2.348649698568736,0.0548200874573114,a
146,2008.0,ford,excellent,6 cylinders,gas,88231.0,automatic,SUV,black,251,2.2275748389983465,-0.0176067018317634,c
147,2008.0,ford,good,4 cylinders,gas,204233.0,automatic,sedan,silver,1420,2.1638613388843817,0.0819565406825408,c
148,2017.0,ford,excellent,4 cylinders,gas,100183.0,automatic,SUV,silver,2152,2.4305425717364373,0.2183649880908137,b
149,1987.0,ford,good,8 cylinders,gas,28418.0,manual,truck,white,236,1.5559369238958938,0.1898949726997477,a
150,2002.0,ford,good,6 cylinders,gas,173400.0,automatic,pickup,white,1532,2.1141429431103496,0.1317645762154746,c
151,2012.0,ford,excellent,4 cylinders,gas,111349.0,automatic,sedan,black,676,2.322083066568979,-0.013186814697579,b
152,1999.0,ford,fair,6 cylinders,gas,245000.0,automatic,truck,blue,351,1.972653183960681,0.190182407945757,a
153,2007.0,ford,good,6 cylinders,gas,171561.0,automatic,pickup,white,504,2.384806463927013,0.1240836666928514,a
154,1993.0,ford,good,6 cylinders,gas,246000.0,manual,truck,red,224,1.83991761608002,0.0510841817613028,b
155,1986.0,ford,excellent,8 cylinders,gas,59100.0,automatic,truck,blue,1338,1.8196225888968327,-0.0071624534471663,c
156,2013.0,ford,excellent,6 cylinders,gas,91700.0,automatic,SUV,red,3843,2.1509117990235533,0.1754157805596167,a
157,2004.0,ford,good,6 cylinders,gas,167639.0,automatic,pickup,silver,532,2.045324110360114,0.2510619763963518,a
158,2013.0,ford,excellent,6 cylinders,gas,112527.0,automatic,pickup,black,3617,2.080460174951205,0.1509167052413011,b
159,2018.0,ford,excellent,4 cylinders,gas,20800.0,automatic,pickup,black,301,2.3807315179293025,-0.0792145726943368,c
160,2009.0,ford,excellent,4 cylinders,gas,97000.0,automatic,sedan,red,388,2.1822412599972707,0.09767169362457,a
161,2019.0,ford,like new,6 cylinders,gas,13439.0,automatic,truck,white,590,2.378146148544272,-0.063332895226911,c
162,2012.0,ford,excellent,4 cylinders,gas,142000.0,automatic,sedan,silver,209,2.3258238409987926,-0.063827654919348,b
163,2009.0,subaru,good,4 cylinders,gas,139644.0,automatic,SUV,white,2808,2.053983361657282,-0.0825763317673529,a
164,2011.0,ford,excellent,4 cylinders,gas,118098.0,automatic,SUV,blue,579,2.286798274733937,0.0577694328893047,b
165,2015.0,ford,good,6 cylinders,gas,142898.0,automatic,SUV,silver,3412,2.3573804417886186,-0.0609083392010209,b
166,2018.0,ford,excellent,6 cylinders,gas,47960.0,automatic,truck,black,275,2.3670669291500706,0.0796032889922277,b
167,2004.0,ford,excellent,8 cylinders,gas,112021.0,automatic,SUV,blue,1524,2.0681646679963626,0.0596678713588152,c
168,2013.0,ford,excellent,4 cylinders,gas,99410.0,automatic,sedan,black,281,2.212728703408424,-0.1053395287173444,c
169,1941.0,ford,excellent,8 cylinders,gas,55000.0,manual,sedan,black,615,0.5309031194334856,0.034085057002191,c
170,2009.0,ford,excellent,6 cylinders,gas,100155.0,automatic,SUV,white,213,2.213804989203304,-0.0132074091291767,a
171,2018.0,subaru,like new,4 cylinders,gas,23009.0,manual,sedan,black,582,2.411010523912537,0.0431681786952388,b
172,2008.0,ford,excellent,8 cylinders,gas,211000.0,automatic,pickup,red,855,2.093806808520424,0.2510427258895127,c
173,2015.0,ford,excellent,4 cylinders,gas,82635.0,automatic,SUV,white,1263,2.4436825869911214,0.0796095327775193,c
174,2011.0,ford,excellent,6 cylinders,gas,197460.0,automatic,SUV,black,4199,2.150409880504323,0.051570673199781,b
175,2008.0,ford,good,8 cylinders,gas,107667.0,automatic,truck,white,3324,2.298169327488353,0.369315945221787,c
176,2006.0,ford,good,8 cylinders,gas,111643.0,automatic,truck,blue,1426,2.0470575144416348,0.3434933836583107,b
177,2013.0,ford,good,8 cylinders,gas,133552.0,automatic,truck,white,179,2.3937853771388817,0.1309315844102945,c
178,2018.0,ford,excellent,4 cylinders,gas,72000.0,automatic,SUV,silver,3869,2.548396580434415,0.1997611964019594,a
179,2019.0,ford,like new,8 cylinders,gas,4001.0,automatic,pickup,white,963,2.383777193625359,0.2385116716675872,b
180,2014.0,ford,like new,6 cylinders,gas,103354.0,automatic,SUV,black,559,2.308488931698009,0.1554367152751635,c
181,2019.0,ford,good,8 cylinders,gas,15687.0,automatic,truck,white,1671,2.540987563492272,0.1525934369540356,b
182,2002.0,ford,fair,8 cylinders,gas,192000.0,automatic,truck,black,373,1.9671006415784804,0.1972744401073064,c
183,1976.0,ford,fair,8 cylinders,gas,150000.0,manual,pickup,white,523,1.3304007501610258,0.0803588945726529,b
184,2019.0,subaru,like new,4 cylinders,gas,23811.0,automatic,SUV,silver,1052,2.2436001913146453,0.1429371926877511,b
185,2016.0,ford,like new,8 cylinders,gas,43882.0,automatic,truck,red,1176,2.314459310154822,0.0468234410800252,b
186,2012.0,ford,good,6 cylinders,gas,163000.0,automatic,sedan,silver,331,2.252896282614147,0.1409434660054551,c
187,2012.0,subaru,excellent,4 cylinders,gas,150000.0,automatic,sedan,blue,339,2.184184560290716,0.0063673673967035,c
188,2016.0,subaru,excellent,4 cylinders,gas,96039.0,automatic,SUV,black,319,2.4166252746814982,0.1395827852243794,b
189,1968.0,ford,good,8 cylinders,gas,150000.0,manual,SUV,blue,16,1.0628432601624969,0.1338869450960757,c
190,2006.0,ford,good,8 cylinders,gas,87000.0,automatic,truck,white,19480,2.181432516077837,0.0120164757992801,b
191,2017.0,ford,excellent,4 cylinders,gas,67229.0,automatic,sedan,silver,1904,2.3469916774075106,0.1013198644120641,b
192,2009.0,ford,excellent,6 cylinders,gas,135000.0,automatic,SUV,white,661,2.275223987411871,0.1677558683568577,c
193,2006.0,ford,fair,6 cylinders,gas,134565.0,automatic,SUV,silver,186,2.008926558597355,0.0378636993175936,b
194,2007.0,ford,excellent,8 cylinders,gas,119078.0,automatic,SUV,white,6877,2.2584267744262965,0.0684119926466629,c
195,2008.0,subaru,like new,4 cylinders,gas,119000.0,automatic,SUV,red,514,2.1634177603133846,0.1178269098233738,c
196,2004.0,ford,good,6 cylinders,gas,188386.0,automatic,pickup,blue,2501,2.177646261126473,0.1456002446723119,a
197,2017.0,ford,excellent,4 cylinders,gas,43179.0,automatic,sedan,white,1455,2.3903254676136774,0.0552327052458962,c
198,2008.0,ford,good,8 cylinders,gas,144000.0,automatic,truck,black,347,2.2362801722310697,0.3579482712384825,c
199,2017.0,ford,like new,8 cylinders,gas,68505.0,automatic,pickup,blue,1504,2.4089444806041675,-0.0146948688873631,a
200,2010.0,ford,excellent,8 cylinders,gas,194779.0,automatic,pickup,white,165,2.253256706661038,0.1551100808972028,c
201,2015.0,ford,excellent,4 cylinders,gas,51000.0,automatic,sedan,red,3084,2.266498449672377,-0.0872155358828865,b
202,2003.0,ford,excellent,6 cylinders,gas,123563.0,automatic,truck,blue,525,1.975255566735244,0.1215778229686256,a
203,2011.0,ford,like new,6 cylinders,gas,52069.0,automatic,pickup,white,1427,2.416058698483646,0.1882679238773291,a
204,2011.0,ford,excellent,6 cylinders,gas,175000.0,automatic,sedan,black,568,2.3653598201808848,0.2238543899114317,a
205,2016.0,ford,excellent,6 cylinders,gas,91517.0,automatic,SUV,black,5383,2.27946571041862,0.1014036246715576,b
206,2004.0,ford,good,6 cylinders,gas,140000.0,automatic,SUV,silver,248,2.142811010982685,0.1422447114124752,c
207,2013.0,ford,good,8 cylinders,gas,158425.0,automatic,truck,white,2035,2.3617367623591154,0.1174768975053108,a
208,2017.0,subaru,like new,4 cylinders,gas,45442.0,automatic,SUV,red,808,2.426228920337486,0.1227746835789328,b
209,2019.0,subaru,excellent,4 cylinders,gas,22000.0,automatic,SUV,black,399,2.6132188162322514,-0.0258488145895675,c
210,2014.0,ford,excellent,8 cylinders,gas,132243.0,automatic,truck,blue,1830,2.252181239858533,0.0630466253930622,c
211,2016.0,ford,good,8 cylinders,gas,18175.0,automatic,pickup,red,5060,2.3105205085743377,0.2045742427426942,a
212,2009.0,ford,excellent,8 cylinders,gas,133100.0,automatic,truck,red,316,2.2352496387102847,0.08574778180115,b
213,2016.0,ford,good,4 cylinders,gas,46038.0,automatic,sedan,red,1509,2.1541978315246526,0.1088077037488005,b
214,2005.0,ford,good,6 cylinders,gas,125000.0,automatic,pickup,white,411,2.049427406170015,0.1203184014809654,b
215,2010.0,ford,fair,6 cylinders,gas,203160.0,automatic,SUV,white,981,2.1181899748817017,0.0728477796609828,b
216,2013.0,subaru,like new,4 cylinders,gas,31335.0,automatic,SUV,blue,1505,2.1481702017161384,0.1125431748436939,b
217,2004.0,ford,good,8 cylinders,gas,188000.0,automatic,truck,silver,356,2.0337482482794007,0.2490935188940557,c
218,2012.0,ford,excellent,8 cylinders,gas,195886.0,automatic,truck,silver,1034,2.132740819838636,-0.0165917517448812,a
219,2008.0,ford,excellent,6 cylinders,gas,98937.0,automatic,SUV,red,920,2.1122871323522485,0.1260789968913635,c
220,2008.0,subaru,excellent,4 cylinders,gas,102000.0,automatic,SUV,silver,168,2.0530324220124263,0.0463843873843535,a
221,2007.0,ford,excellent,8 cylinders,gas,164769.0,automatic,SUV,white,6572,1.8790410878572488,0.1349794889029107,a
222,2014.0,ford,like new,8 cylinders,gas,152377.0,automatic,truck,white,1176,2.1959352056642296,0.0415227342821733,b
223,2018.0,ford,excellent,6 cylinders,gas,62939.0,automatic,SUV,silver,4454,2.467874563545045,0.2752714737532041,c
224,2008.0,ford,good,6 cylinders,gas,115152.0,automatic,truck,white,2604,2.1294054736908192,0.0618840521136916,a
225,2016.0,ford,excellent,8 cylinders,gas,115071.0,automatic,truck,white,836,2.471561949485465,0.0655871191731035,b
226,2013.0,ford,good,6 cylinders,gas,154387.0,automatic,truck,white,1737,2.3294437467288907,0.0784582996486744,c
227,1999.0,ford,excellent,8 cylinders,gas,144000.0,automatic,truck,red,190,1.9213603486242905,-0.1551438200965981,c
228,2013.0,ford,excellent,4 cylinders,gas,144084.0,automatic,SUV,silver,3663,2.145297688281686,0.038181233106448,a
229,2012.0,ford,excellent,6 cylinders,gas,142355.0,automatic,pickup,black,233,2.2765851543092324,0.1732767985091429,a
230,2013.0,ford,good,6 cylinders,gas,100155.0,automatic,SUV,red,427,2.1880947811964435,0.0297975535967519,b
